Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
,
NIKE-MYEONGDONG - 2106,
NIKE-MYEONGDONG - 2106,2811924593,Partner,11/12/24,11/12/24,10:41 오전,03,,000001,,100.00,Kwang Min,Kwang Min,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811925644,Partner,11/12/24,11/12/24,10:52 오전,03,,000002,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811925889,Partner,11/12/24,11/12/24,10:53 오전,03,,000003,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811928382,Partner,11/12/24,11/12/24,11:18 오전,03,,000006,,100.00,최광민,최광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811930067,Partner,11/12/24,11/12/24,11:36 오전,03,,000007,,100.00,Seokgyuson,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811935733,Partner,11/12/24,11/12/24,12:15 오후,03,,000013,,100.00,현수,현수,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811935772,Partner,11/12/24,11/12/24,12:13 오후,03,,000012,,100.00,Younggyu,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937437,Partner,11/12/24,11/12/24,12:39 오후,03,,000020,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937541,Partner,11/12/24,11/12/24,12:41 오후,03,,000021,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937678,Partner,11/12/24,11/12/24,12:43 오후,03,,000022,,100.00,현수,현수,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937782,Partner,11/12/24,11/12/24,12:42 오후,04,,000001,,100.00,지원30,support30,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937819,Partner,11/12/24,11/12/24,12:44 오후,03,,000023,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811938536,Partner,11/12/24,11/12/24,12:54 오후,03,,000026,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811938832,Partner,11/12/24,11/12/24,12:59 오후,03,,000028,,100.00,현수,현수,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811939383,Partner,11/12/24,11/12/24,1:07 오후,03,,000033,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811940355,Partner,11/12/24,11/12/24,12:45 오후,03,,000024,,100.00,Young lim,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811940532,Partner,11/12/24,11/12/24,1:00 오후,03,,000029,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811940769,Partner,11/12/24,11/12/24,1:27 오후,03,,000037,,100.00,영민 잘 샀습니다,"Youngmin, you made a good purchase",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811943729,Partner,11/12/24,11/12/24,2:06 오후,03,,000041,,100.00,Yeji,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811944895,Partner,11/12/24,11/12/24,2:29 오후,03,,000047,,100.00,예형,예형,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811945351,Partner,11/12/24,11/12/24,2:38 오후,03,,000048,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811946176,Partner,11/12/24,11/12/24,2:54 오후,03,,000051,,100.00,경진 친절해요,경진 예사해요,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811946608,Partner,11/12/24,11/12/24,3:06 오후,04,,000003,,100.00,경욱,경욱,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811946961,Partner,11/12/24,11/12/24,12:57 오후,03,,000027,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811948510,Partner,11/12/24,11/12/24,3:41 오후,03,,000055,,100.00,Seokgyuson,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811948967,Partner,11/12/24,11/12/24,12:42 오후,04,,000001,,100.00,지원,support,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811949347,Partner,11/12/24,11/12/24,4:00 오후,03,,000058,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811953894,Partner,11/12/24,11/12/24,2:59 오후,01,,000013,,100.00,YOUNG MI,YOUNG MI,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811955517,Partner,11/12/24,11/12/24,4:48 오후,03,,000066,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811956123,Partner,11/12/24,11/12/24,5:01 오후,04,,000004,,100.00,지원,support,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811956264,Partner,11/12/24,11/12/24,5:07 오후,03,,000069,,100.00,경욱,경욱,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811956532,Partner,11/12/24,11/12/24,5:15 오후,03,,000070,,100.00,Gyung uk,,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811956575,Partner,11/12/24,11/12/24,5:17 오후,03,,000072,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811956659,Partner,11/12/24,11/12/24,5:18 오후,03,,000073,,100.00,"지원님께서 저희를 응대해주셨고, 신발 총 두종류를 신어봣는데 사이즈 이외에도 스타일과 착화감 등등 많은 추천을 친절하게해주셔서 신발선택에 큰 도움이 되었습니다:) 최고","The support staff greeted us and let us try on two types of shoes. They kindly gave us many recommendations on sizes, styles, and comfort, which was a great help in choosing shoes. :) The best",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811957637,Partner,11/12/24,11/12/24,5:37 오후,03,,000075,,100.00,gyung uk,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811958969,Partner,11/12/24,11/12/24,6:13 오후,03,,000079,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811959596,Partner,11/12/24,11/12/24,6:28 오후,03,,000085,,100.00,재환님 너무 친절하게 계산해주시고 너무 잘생겼어요 같은 남자인데도 반할정도의 외모를 갖추셨더군요.,"Jaehwan, you were so kind in calculating the bill and you're so handsome. Even though you're a man, I fell in love with you.",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811959645,Partner,11/12/24,11/12/24,6:28 오후,03,,000086,,100.00,해정님 친절하게 물건 검수해주시고 결제하는데 도움주셔서 감사합니다,해정님 가이한국어 고수하어고 공의 보다 가의 가이스 가이스,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811959776,Partner,11/12/24,11/12/24,6:34 오후,03,,000088,,100.00,영민 구매 잘했습니다.,영미 purchase was good.,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811960742,Partner,11/12/24,11/12/24,6:58 오후,03,,000092,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811961902,Partner,11/12/24,11/12/24,7:16 오후,03,,000103,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811961924,Partner,11/12/24,11/12/24,7:05 오후,03,,000097,,100.00,주현,주현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811963394,Partner,11/12/24,11/12/24,7:07 오후,01,,000019,,100.00,young mi. kind,young mi. kind,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811963475,Partner,11/12/24,11/12/24,6:50 오후,01,,000018,,100.00,英米賞、ありがとうございます,Thank you for the British and American Awards,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811964420,Partner,11/12/24,11/12/24,7:40 오후,03,,000109,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811964445,Partner,11/12/24,11/12/24,7:42 오후,03,,000110,,100.00,지원,support,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811964916,Partner,11/12/24,11/12/24,5:25 오후,03,,000074,,100.00,주현,주현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811964975,Partner,11/12/24,11/12/24,6:21 오후,03,,000084,,100.00,해정,해정,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811970892,Partner,11/12/24,11/12/24,7:05 오후,03,,000097,,100.00,영규님,영규님,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811970974,Partner,11/12/24,11/12/24,5:25 오후,03,,000074,,100.00,younggyu,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811971058,Partner,11/12/24,11/12/24,5:25 오후,03,,000074,,100.00,영규,영규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811944640,Partner,11/12/24,11/12/24,2:23 오후,03,,000045,,96.45,영민 님 덕분에 좋은 상품 구매했습니다.,"Thanks to Youngmin, I was able to purchase a good product.",7,7,7,7,7,6,7
NIKE-MYEONGDONG - 2106,2811937424,Partner,11/12/24,11/12/24,12:38 오후,03,,000019,,68.79,예형,예형,5,7,7,7,5,6,6
NIKE-MYEONGDONG - 2106,2811957198,Partner,11/12/24,11/12/24,5:26 오후,01,,000014,,45.74,suin,sweat,4,7,7,5,5,7,7
NIKE-MYEONGDONG - 2106,2811949362,Partner,11/12/24,11/12/24,3:59 오후,03,,000057,,-106.38,empty,empty,1,1,1,1,1,1,1